Date,AnswerCount
 04/21/2022,5
 04/22/2022,6
 04/23/2022,0
 04/24/2022,0
 04/25/2022,5
 04/26/2022,0
 04/27/2022,2
 04/28/2022,5
 04/29/2022,9
 04/30/2022,0
 05/01/2022,0
 05/02/2022,3
 05/03/2022,0
 05/04/2022,1
 05/05/2022,1
 05/06/2022,7
 05/07/2022,0
 05/08/2022,0
 05/09/2022,0
 05/10/2022,4
 05/11/2022,0
 05/12/2022,8
 05/13/2022,6
 05/14/2022,0
 05/15/2022,0
 05/16/2022,5
 05/17/2022,4
 05/18/2022,1
 05/19/2022,3
 05/20/2022,5
 05/21/2022,0
 05/22/2022,0
 05/23/2022,2
 05/24/2022,8
 05/25/2022,6
 05/26/2022,0
 05/27/2022,13
 05/28/2022,0
 05/29/2022,0
 05/30/2022,4
 05/31/2022,4
 06/01/2022,0
 06/02/2022,0
 06/03/2022,0
 06/04/2022,0
 06/05/2022,0
 06/06/2022,1
 06/07/2022,2
 06/08/2022,1
 06/09/2022,9
 06/10/2022,5
 06/11/2022,0
 06/12/2022,0
 06/13/2022,1
 06/14/2022,7
 06/15/2022,6
 06/16/2022,4
 06/17/2022,3
 06/18/2022,0
 06/19/2022,0
 06/20/2022,4
 06/21/2022,8
 06/22/2022,7
 06/23/2022,7
 06/24/2022,0
 06/25/2022,0
 06/26/2022,0
 06/27/2022,2
 06/28/2022,3
 06/29/2022,4
 06/30/2022,8
 07/01/2022,3
 07/02/2022,0
 07/03/2022,0
 07/04/2022,1
 07/05/2022,0
 07/06/2022,1
 07/07/2022,2
 07/08/2022,2
 07/09/2022,0
 07/10/2022,0
 07/11/2022,1
 07/12/2022,2
 07/13/2022,0
 07/14/2022,5
 07/15/2022,6
 07/16/2022,0
 07/17/2022,0
 07/18/2022,2
 07/19/2022,2
 07/20/2022,1
 07/21/2022,4
 07/22/2022,0
 07/23/2022,0
 07/24/2022,0
 07/25/2022,3
 07/26/2022,4
 07/27/2022,1
 07/28/2022,1
 07/29/2022,8
 07/30/2022,0
 07/31/2022,0
 08/01/2022,0
 08/02/2022,0
 08/03/2022,0
 08/04/2022,2
 08/05/2022,2
 08/06/2022,0
 08/07/2022,0
 08/08/2022,0
 08/09/2022,1
 08/10/2022,2
 08/11/2022,0
 08/12/2022,4
 08/13/2022,0
 08/14/2022,0
 08/15/2022,9
 08/16/2022,0
 08/17/2022,4
 08/18/2022,2
 08/19/2022,2
 08/20/2022,0
 08/21/2022,0
 08/22/2022,1
 08/23/2022,6
 08/24/2022,1
 08/25/2022,3
 08/26/2022,4
 08/27/2022,0
 08/28/2022,0
 08/29/2022,2
 08/30/2022,4
 08/31/2022,5
 09/01/2022,0
 09/02/2022,0
 09/03/2022,0
 09/04/2022,0
 09/05/2022,0
 09/06/2022,1
 09/07/2022,2
 09/08/2022,2
 09/09/2022,3
 09/10/2022,0
 09/11/2022,0
 09/12/2022,1
 09/13/2022,2
 09/14/2022,5
 09/15/2022,6
 09/16/2022,11
 09/17/2022,0
 09/18/2022,0
 09/19/2022,1
 09/20/2022,5
 09/21/2022,1
 09/22/2022,1
 09/23/2022,2
 09/24/2022,0
 09/25/2022,0
 09/26/2022,1
 09/27/2022,2
 09/28/2022,5
 09/29/2022,5
 09/30/2022,8
 10/01/2022,0
 10/02/2022,0
 10/03/2022,3
 10/04/2022,0
 10/05/2022,1
 10/06/2022,1
 10/07/2022,3
 10/08/2022,0
 10/09/2022,0
 10/10/2022,2
 10/11/2022,1
 10/12/2022,2
 10/13/2022,3
 10/14/2022,10
 10/15/2022,0
 10/16/2022,0
 10/17/2022,3
 10/18/2022,3
 10/19/2022,1
 10/20/2022,3
 10/21/2022,2
 10/22/2022,0
 10/23/2022,0
 10/24/2022,3
 10/25/2022,5
 10/26/2022,3
 10/27/2022,8
 10/28/2022,7
 10/29/2022,0
 10/30/2022,0
 10/31/2022,2
 11/01/2022,0
 11/02/2022,5
 11/03/2022,2
 11/04/2022,1
 11/05/2022,0
 11/06/2022,0
 11/07/2022,2
 11/08/2022,0
 11/09/2022,2
 11/10/2022,3
 11/11/2022,2
 11/12/2022,0
 11/13/2022,0
 11/14/2022,4
 11/15/2022,8
 11/16/2022,3
 11/17/2022,2
 11/18/2022,2
 11/19/2022,0
 11/20/2022,0
 11/21/2022,1
 11/22/2022,4
 11/23/2022,1
 11/24/2022,3
 11/25/2022,2
 11/26/2022,0
 11/27/2022,0
 11/28/2022,1
 11/29/2022,0
 11/30/2022,10
 12/01/2022,2
 12/02/2022,2
 12/03/2022,0
 12/04/2022,0
 12/05/2022,0
 12/06/2022,0
 12/07/2022,1
 12/08/2022,7
 12/09/2022,7
 12/10/2022,0
 12/11/2022,0
 12/12/2022,2
 12/13/2022,3
 12/14/2022,12
 12/15/2022,9
 12/16/2022,10
 12/17/2022,0
 12/18/2022,0
 12/19/2022,5
 12/20/2022,7
 12/21/2022,7
 12/22/2022,1
 12/23/2022,2
 12/24/2022,0
 12/25/2022,0
 12/26/2022,0
 12/27/2022,1
 12/28/2022,0
 12/29/2022,2
 12/30/2022,7
 12/31/2022,0
