Alue	Tielaji	Osallinen el‰inlaji	Kuukausi	Tiedot	Riistaonnettomuudet
MK01 Uusimaa	Yhteens‰	Valkoh‰nt‰peura	2020M01	Lukum‰‰r‰	174
MK01 Uusimaa	Yhteens‰	Valkoh‰nt‰peura	2020M02	Lukum‰‰r‰	93
MK01 Uusimaa	Yhteens‰	Valkoh‰nt‰peura	2020M03	Lukum‰‰r‰	60
MK01 Uusimaa	Yhteens‰	Valkoh‰nt‰peura	2020M04	Lukum‰‰r‰	71
MK01 Uusimaa	Yhteens‰	Valkoh‰nt‰peura	2020M05	Lukum‰‰r‰	135
MK01 Uusimaa	Yhteens‰	Valkoh‰nt‰peura	2020M06	Lukum‰‰r‰	136
MK01 Uusimaa	Yhteens‰	Valkoh‰nt‰peura	2020M07	Lukum‰‰r‰	93
MK01 Uusimaa	Yhteens‰	Valkoh‰nt‰peura	2020M08	Lukum‰‰r‰	90
MK01 Uusimaa	Yhteens‰	Valkoh‰nt‰peura	2020M09	Lukum‰‰r‰	150
MK01 Uusimaa	Yhteens‰	Valkoh‰nt‰peura	2020M10	Lukum‰‰r‰	240
MK01 Uusimaa	Yhteens‰	Valkoh‰nt‰peura	2020M11	Lukum‰‰r‰	427
MK01 Uusimaa	Yhteens‰	Valkoh‰nt‰peura	2020M12	Lukum‰‰r‰	195
MK01 Uusimaa	Yhteens‰	Mets‰peura	2020M01	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Mets‰peura	2020M02	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Mets‰peura	2020M03	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Mets‰peura	2020M04	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Mets‰peura	2020M05	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Mets‰peura	2020M06	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Mets‰peura	2020M07	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Mets‰peura	2020M08	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Mets‰peura	2020M09	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Mets‰peura	2020M10	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Mets‰peura	2020M11	Lukum‰‰r‰	0
MK01 Uusimaa	Yhteens‰	Mets‰peura	2020M12	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Villisika	2020M01	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Villisika	2020M02	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Villisika	2020M03	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Villisika	2020M04	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Villisika	2020M05	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Villisika	2020M06	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Villisika	2020M07	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Villisika	2020M08	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Villisika	2020M09	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Villisika	2020M10	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Villisika	2020M11	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Villisika	2020M12	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Kuusipeura	2020M01	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Kuusipeura	2020M02	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Kuusipeura	2020M03	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Kuusipeura	2020M04	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Kuusipeura	2020M05	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Kuusipeura	2020M06	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Kuusipeura	2020M07	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Kuusipeura	2020M08	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Kuusipeura	2020M09	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Kuusipeura	2020M10	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Kuusipeura	2020M11	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Kuusipeura	2020M12	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Mets‰kauris	2020M01	Lukum‰‰r‰	64
MK02 Varsinais-Suomi	Yhteens‰	Mets‰kauris	2020M02	Lukum‰‰r‰	39
MK02 Varsinais-Suomi	Yhteens‰	Mets‰kauris	2020M03	Lukum‰‰r‰	47
MK02 Varsinais-Suomi	Yhteens‰	Mets‰kauris	2020M04	Lukum‰‰r‰	71
MK02 Varsinais-Suomi	Yhteens‰	Mets‰kauris	2020M05	Lukum‰‰r‰	141
MK02 Varsinais-Suomi	Yhteens‰	Mets‰kauris	2020M06	Lukum‰‰r‰	99
MK02 Varsinais-Suomi	Yhteens‰	Mets‰kauris	2020M07	Lukum‰‰r‰	70
MK02 Varsinais-Suomi	Yhteens‰	Mets‰kauris	2020M08	Lukum‰‰r‰	79
MK02 Varsinais-Suomi	Yhteens‰	Mets‰kauris	2020M09	Lukum‰‰r‰	94
MK02 Varsinais-Suomi	Yhteens‰	Mets‰kauris	2020M10	Lukum‰‰r‰	113
MK02 Varsinais-Suomi	Yhteens‰	Mets‰kauris	2020M11	Lukum‰‰r‰	109
MK02 Varsinais-Suomi	Yhteens‰	Mets‰kauris	2020M12	Lukum‰‰r‰	69
MK02 Varsinais-Suomi	Yhteens‰	Hirvi	2020M01	Lukum‰‰r‰	4
MK02 Varsinais-Suomi	Yhteens‰	Hirvi	2020M02	Lukum‰‰r‰	2
MK02 Varsinais-Suomi	Yhteens‰	Hirvi	2020M03	Lukum‰‰r‰	1
MK02 Varsinais-Suomi	Yhteens‰	Hirvi	2020M04	Lukum‰‰r‰	3
MK02 Varsinais-Suomi	Yhteens‰	Hirvi	2020M05	Lukum‰‰r‰	5
MK02 Varsinais-Suomi	Yhteens‰	Hirvi	2020M06	Lukum‰‰r‰	9
MK02 Varsinais-Suomi	Yhteens‰	Hirvi	2020M07	Lukum‰‰r‰	8
MK02 Varsinais-Suomi	Yhteens‰	Hirvi	2020M08	Lukum‰‰r‰	14
MK02 Varsinais-Suomi	Yhteens‰	Hirvi	2020M09	Lukum‰‰r‰	18
MK02 Varsinais-Suomi	Yhteens‰	Hirvi	2020M10	Lukum‰‰r‰	8
MK02 Varsinais-Suomi	Yhteens‰	Hirvi	2020M11	Lukum‰‰r‰	8
MK02 Varsinais-Suomi	Yhteens‰	Hirvi	2020M12	Lukum‰‰r‰	8
MK02 Varsinais-Suomi	Yhteens‰	Valkoh‰nt‰peura	2020M01	Lukum‰‰r‰	163
MK02 Varsinais-Suomi	Yhteens‰	Valkoh‰nt‰peura	2020M02	Lukum‰‰r‰	105
MK02 Varsinais-Suomi	Yhteens‰	Valkoh‰nt‰peura	2020M03	Lukum‰‰r‰	93
MK02 Varsinais-Suomi	Yhteens‰	Valkoh‰nt‰peura	2020M04	Lukum‰‰r‰	116
MK02 Varsinais-Suomi	Yhteens‰	Valkoh‰nt‰peura	2020M05	Lukum‰‰r‰	148
MK02 Varsinais-Suomi	Yhteens‰	Valkoh‰nt‰peura	2020M06	Lukum‰‰r‰	177
MK02 Varsinais-Suomi	Yhteens‰	Valkoh‰nt‰peura	2020M07	Lukum‰‰r‰	125
MK02 Varsinais-Suomi	Yhteens‰	Valkoh‰nt‰peura	2020M08	Lukum‰‰r‰	143
MK02 Varsinais-Suomi	Yhteens‰	Valkoh‰nt‰peura	2020M09	Lukum‰‰r‰	252
MK02 Varsinais-Suomi	Yhteens‰	Valkoh‰nt‰peura	2020M10	Lukum‰‰r‰	281
MK02 Varsinais-Suomi	Yhteens‰	Valkoh‰nt‰peura	2020M11	Lukum‰‰r‰	436
MK02 Varsinais-Suomi	Yhteens‰	Valkoh‰nt‰peura	2020M12	Lukum‰‰r‰	187
MK02 Varsinais-Suomi	Yhteens‰	Mets‰peura	2020M01	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Mets‰peura	2020M02	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Mets‰peura	2020M03	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Mets‰peura	2020M04	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Mets‰peura	2020M05	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Mets‰peura	2020M06	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Mets‰peura	2020M07	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Mets‰peura	2020M08	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Mets‰peura	2020M09	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Mets‰peura	2020M10	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Mets‰peura	2020M11	Lukum‰‰r‰	0
MK02 Varsinais-Suomi	Yhteens‰	Mets‰peura	2020M12	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Villisika	2020M01	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Villisika	2020M02	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Villisika	2020M03	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Villisika	2020M04	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Villisika	2020M05	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Villisika	2020M06	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Villisika	2020M07	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Villisika	2020M08	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Villisika	2020M09	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Villisika	2020M10	Lukum‰‰r‰	3
MK05 Kanta-H‰me	Yhteens‰	Villisika	2020M11	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Villisika	2020M12	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Kuusipeura	2020M01	Lukum‰‰r‰	1
MK05 Kanta-H‰me	Yhteens‰	Kuusipeura	2020M02	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Kuusipeura	2020M03	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Kuusipeura	2020M04	Lukum‰‰r‰	1
MK05 Kanta-H‰me	Yhteens‰	Kuusipeura	2020M05	Lukum‰‰r‰	1
MK05 Kanta-H‰me	Yhteens‰	Kuusipeura	2020M06	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Kuusipeura	2020M07	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Kuusipeura	2020M08	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Kuusipeura	2020M09	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Kuusipeura	2020M10	Lukum‰‰r‰	1
MK05 Kanta-H‰me	Yhteens‰	Kuusipeura	2020M11	Lukum‰‰r‰	1
MK05 Kanta-H‰me	Yhteens‰	Kuusipeura	2020M12	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Mets‰kauris	2020M01	Lukum‰‰r‰	20
MK05 Kanta-H‰me	Yhteens‰	Mets‰kauris	2020M02	Lukum‰‰r‰	17
MK05 Kanta-H‰me	Yhteens‰	Mets‰kauris	2020M03	Lukum‰‰r‰	9
MK05 Kanta-H‰me	Yhteens‰	Mets‰kauris	2020M04	Lukum‰‰r‰	26
MK05 Kanta-H‰me	Yhteens‰	Mets‰kauris	2020M05	Lukum‰‰r‰	61
MK05 Kanta-H‰me	Yhteens‰	Mets‰kauris	2020M06	Lukum‰‰r‰	29
MK05 Kanta-H‰me	Yhteens‰	Mets‰kauris	2020M07	Lukum‰‰r‰	32
MK05 Kanta-H‰me	Yhteens‰	Mets‰kauris	2020M08	Lukum‰‰r‰	26
MK05 Kanta-H‰me	Yhteens‰	Mets‰kauris	2020M09	Lukum‰‰r‰	31
MK05 Kanta-H‰me	Yhteens‰	Mets‰kauris	2020M10	Lukum‰‰r‰	41
MK05 Kanta-H‰me	Yhteens‰	Mets‰kauris	2020M11	Lukum‰‰r‰	37
MK05 Kanta-H‰me	Yhteens‰	Mets‰kauris	2020M12	Lukum‰‰r‰	36
MK05 Kanta-H‰me	Yhteens‰	Hirvi	2020M01	Lukum‰‰r‰	1
MK05 Kanta-H‰me	Yhteens‰	Hirvi	2020M02	Lukum‰‰r‰	3
MK05 Kanta-H‰me	Yhteens‰	Hirvi	2020M03	Lukum‰‰r‰	1
MK05 Kanta-H‰me	Yhteens‰	Hirvi	2020M04	Lukum‰‰r‰	3
MK05 Kanta-H‰me	Yhteens‰	Hirvi	2020M05	Lukum‰‰r‰	2
MK05 Kanta-H‰me	Yhteens‰	Hirvi	2020M06	Lukum‰‰r‰	7
MK05 Kanta-H‰me	Yhteens‰	Hirvi	2020M07	Lukum‰‰r‰	3
MK05 Kanta-H‰me	Yhteens‰	Hirvi	2020M08	Lukum‰‰r‰	5
MK05 Kanta-H‰me	Yhteens‰	Hirvi	2020M09	Lukum‰‰r‰	9
MK05 Kanta-H‰me	Yhteens‰	Hirvi	2020M10	Lukum‰‰r‰	7
MK05 Kanta-H‰me	Yhteens‰	Hirvi	2020M11	Lukum‰‰r‰	6
MK05 Kanta-H‰me	Yhteens‰	Hirvi	2020M12	Lukum‰‰r‰	6
MK05 Kanta-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M01	Lukum‰‰r‰	54
MK05 Kanta-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M02	Lukum‰‰r‰	32
MK05 Kanta-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M03	Lukum‰‰r‰	34
MK05 Kanta-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M04	Lukum‰‰r‰	40
MK05 Kanta-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M05	Lukum‰‰r‰	75
MK05 Kanta-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M06	Lukum‰‰r‰	81
MK05 Kanta-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M07	Lukum‰‰r‰	62
MK05 Kanta-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M08	Lukum‰‰r‰	50
MK05 Kanta-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M09	Lukum‰‰r‰	83
MK05 Kanta-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M10	Lukum‰‰r‰	96
MK05 Kanta-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M11	Lukum‰‰r‰	218
MK05 Kanta-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M12	Lukum‰‰r‰	90
MK05 Kanta-H‰me	Yhteens‰	Mets‰peura	2020M01	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Mets‰peura	2020M02	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Mets‰peura	2020M03	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Mets‰peura	2020M04	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Mets‰peura	2020M05	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Mets‰peura	2020M06	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Mets‰peura	2020M07	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Mets‰peura	2020M08	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Mets‰peura	2020M09	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Mets‰peura	2020M10	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Mets‰peura	2020M11	Lukum‰‰r‰	0
MK05 Kanta-H‰me	Yhteens‰	Mets‰peura	2020M12	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Villisika	2020M01	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Villisika	2020M02	Lukum‰‰r‰	1
MK07 P‰ij‰t-H‰me	Yhteens‰	Villisika	2020M03	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Villisika	2020M04	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Villisika	2020M05	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Villisika	2020M06	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Villisika	2020M07	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Villisika	2020M08	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Villisika	2020M09	Lukum‰‰r‰	2
MK07 P‰ij‰t-H‰me	Yhteens‰	Villisika	2020M10	Lukum‰‰r‰	2
MK07 P‰ij‰t-H‰me	Yhteens‰	Villisika	2020M11	Lukum‰‰r‰	2
MK07 P‰ij‰t-H‰me	Yhteens‰	Villisika	2020M12	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Kuusipeura	2020M01	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Kuusipeura	2020M02	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Kuusipeura	2020M03	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Kuusipeura	2020M04	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Kuusipeura	2020M05	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Kuusipeura	2020M06	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Kuusipeura	2020M07	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Kuusipeura	2020M08	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Kuusipeura	2020M09	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Kuusipeura	2020M10	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Kuusipeura	2020M11	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Kuusipeura	2020M12	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Mets‰kauris	2020M01	Lukum‰‰r‰	22
MK07 P‰ij‰t-H‰me	Yhteens‰	Mets‰kauris	2020M02	Lukum‰‰r‰	15
MK07 P‰ij‰t-H‰me	Yhteens‰	Mets‰kauris	2020M03	Lukum‰‰r‰	20
MK07 P‰ij‰t-H‰me	Yhteens‰	Mets‰kauris	2020M04	Lukum‰‰r‰	10
MK07 P‰ij‰t-H‰me	Yhteens‰	Mets‰kauris	2020M05	Lukum‰‰r‰	36
MK07 P‰ij‰t-H‰me	Yhteens‰	Mets‰kauris	2020M06	Lukum‰‰r‰	16
MK07 P‰ij‰t-H‰me	Yhteens‰	Mets‰kauris	2020M07	Lukum‰‰r‰	22
MK07 P‰ij‰t-H‰me	Yhteens‰	Mets‰kauris	2020M08	Lukum‰‰r‰	23
MK07 P‰ij‰t-H‰me	Yhteens‰	Mets‰kauris	2020M09	Lukum‰‰r‰	26
MK07 P‰ij‰t-H‰me	Yhteens‰	Mets‰kauris	2020M10	Lukum‰‰r‰	42
MK07 P‰ij‰t-H‰me	Yhteens‰	Mets‰kauris	2020M11	Lukum‰‰r‰	26
MK07 P‰ij‰t-H‰me	Yhteens‰	Mets‰kauris	2020M12	Lukum‰‰r‰	22
MK07 P‰ij‰t-H‰me	Yhteens‰	Hirvi	2020M01	Lukum‰‰r‰	3
MK07 P‰ij‰t-H‰me	Yhteens‰	Hirvi	2020M02	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Hirvi	2020M03	Lukum‰‰r‰	2
MK07 P‰ij‰t-H‰me	Yhteens‰	Hirvi	2020M04	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Hirvi	2020M05	Lukum‰‰r‰	1
MK07 P‰ij‰t-H‰me	Yhteens‰	Hirvi	2020M06	Lukum‰‰r‰	6
MK07 P‰ij‰t-H‰me	Yhteens‰	Hirvi	2020M07	Lukum‰‰r‰	3
MK07 P‰ij‰t-H‰me	Yhteens‰	Hirvi	2020M08	Lukum‰‰r‰	5
MK07 P‰ij‰t-H‰me	Yhteens‰	Hirvi	2020M09	Lukum‰‰r‰	7
MK07 P‰ij‰t-H‰me	Yhteens‰	Hirvi	2020M10	Lukum‰‰r‰	3
MK07 P‰ij‰t-H‰me	Yhteens‰	Hirvi	2020M11	Lukum‰‰r‰	10
MK07 P‰ij‰t-H‰me	Yhteens‰	Hirvi	2020M12	Lukum‰‰r‰	4
MK07 P‰ij‰t-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M01	Lukum‰‰r‰	9
MK07 P‰ij‰t-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M02	Lukum‰‰r‰	2
MK07 P‰ij‰t-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M03	Lukum‰‰r‰	3
MK07 P‰ij‰t-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M04	Lukum‰‰r‰	4
MK07 P‰ij‰t-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M05	Lukum‰‰r‰	14
MK07 P‰ij‰t-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M06	Lukum‰‰r‰	17
MK07 P‰ij‰t-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M07	Lukum‰‰r‰	7
MK07 P‰ij‰t-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M08	Lukum‰‰r‰	6
MK07 P‰ij‰t-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M09	Lukum‰‰r‰	6
MK07 P‰ij‰t-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M10	Lukum‰‰r‰	20
MK07 P‰ij‰t-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M11	Lukum‰‰r‰	35
MK07 P‰ij‰t-H‰me	Yhteens‰	Valkoh‰nt‰peura	2020M12	Lukum‰‰r‰	20
MK07 P‰ij‰t-H‰me	Yhteens‰	Mets‰peura	2020M01	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Mets‰peura	2020M02	Lukum‰‰r‰	0
MK07 P‰ij‰t-H‰me	Yhteens‰	Mets‰peura	2020M03	Lukum‰‰r‰	0
